,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
84,Mataura,-46.19,168.86,55.0,97,100,5.01,NZ,1609518401
85,Saldanha,-33.01,17.94,77.0,38,0,23.04,ZA,1609518403
86,Hong Kong,22.29,114.16,55.99,33,70,9.08,HK,1609518183
87,Busselton,-33.65,115.33,64.0,74,100,4.0,AU,1609518405
88,Jacareacanga,-6.22,-57.75,94.78,44,36,2.89,BR,1609518406
89,Fortuna,40.6,-124.16,46.99,100,1,11.41,US,1609518407
90,Broome,42.25,-75.83,33.01,74,1,8.05,US,1609518408
91,Avarua,-21.21,-159.78,80.6,78,75,16.11,CK,1609518409
92,Vila Franca do Campo,37.72,-25.43,57.2,82,40,14.99,PT,1609518411
93,Souillac,-20.52,57.52,77.0,78,40,12.75,MU,1609518412
94,Port Alfred,-33.59,26.89,69.01,67,62,4.0,ZA,1609518252
95,Yumen,40.28,97.2,15.3,75,100,6.98,CN,1609518414
96,Auki,-8.77,160.7,78.17,82,1,4.65,SB,1609518415
97,Goderich,43.75,-81.72,28.4,74,100,9.17,CA,1609518416
98,Monteagudo,-19.82,-63.98,78.8,65,75,4.09,BO,1609518417
99,Maceió,-9.67,-35.74,86.0,66,75,11.41,BR,1609518418
100,Torbay,47.67,-52.73,32.0,63,75,24.16,CA,1609518419
101,Saskylakh,71.92,114.08,-15.25,86,100,17.76,RU,1609518420
102,São Félix do Xingu,-6.64,-51.99,93.92,46,5,2.19,BR,1609518421
103,Upernavik,72.79,-56.15,19.33,95,100,10.11,GL,1609518422
104,Olavarría,-36.89,-60.32,91.51,15,96,5.12,AR,1609518424
105,Mount Gambier,-37.83,140.77,68.0,72,100,8.05,AU,1609518425
106,Morondava,-20.28,44.28,84.49,68,0,12.91,MG,1609518320
107,Yar-Sale,66.83,70.83,-25.6,84,0,4.52,RU,1609518427
108,Puerto Ayora,-0.74,-90.35,78.8,69,40,13.87,EC,1609518428
109,Antofagasta,-23.65,-70.4,75.0,64,20,9.17,CL,1609518429
110,Mendoza,-32.89,-68.83,84.2,26,0,6.93,AR,1609518286
111,Alyangula,-13.85,136.42,78.8,94,90,6.93,AU,1609518431
112,Ketchikan,55.34,-131.65,37.4,100,90,18.34,US,1609518297
113,Thompson,55.74,-97.86,5.0,92,90,2.24,CA,1609518385
114,Road Town,18.42,-64.62,82.4,58,40,12.75,VG,1609518436
115,Hobart,-42.88,147.33,57.2,67,90,6.93,AU,1609518259
116,Río Gallegos,-51.62,-69.22,69.8,43,0,3.36,AR,1609518388
117,Bubaque,11.28,-15.83,82.04,61,0,9.48,GW,1609518439
118,Greenville,35.61,-77.37,46.0,100,90,9.17,US,1609518221
119,Kismayo,-0.36,42.55,78.94,80,83,13.42,SO,1609518441
120,Cairns,-16.92,145.77,77.0,94,40,1.12,AU,1609518317
121,Sheopur,25.67,76.7,67.15,46,26,12.57,IN,1609518443
122,Sasovo,54.35,41.92,29.44,98,100,12.3,RU,1609518444
123,Chokurdakh,70.63,147.92,-30.19,86,61,3.94,RU,1609518445
124,Los Llanos de Aridane,28.66,-17.92,66.2,68,75,8.05,ES,1609518446
125,Dikson,73.51,80.55,-1.41,93,100,17.25,RU,1609518448
126,Ballina,-28.87,153.57,71.6,94,75,5.82,AU,1609518449
127,Bredasdorp,-34.53,20.04,69.8,43,0,12.75,ZA,1609518450
128,Savinka,50.08,47.1,19.49,97,98,9.24,RU,1609518451
129,Vardø,70.37,31.11,28.4,92,75,20.8,NO,1609518452
130,Mocuba,-16.84,36.99,79.56,82,61,5.26,MZ,1609518453
131,Hervey Bay,-25.3,152.85,72.0,83,77,3.0,AU,1609518454
132,Zlobin,45.29,14.65,51.01,81,98,10.0,HR,1609518455
133,San Quintín,30.48,-115.95,57.22,38,0,1.66,MX,1609518456
134,Codrington,-38.27,141.97,61.93,92,100,7.45,AU,1609518457
135,Ishigaki,24.34,124.16,63.39,80,100,22.86,JP,1609518458
136,Itarema,-2.92,-39.92,88.7,56,66,18.32,BR,1609518460
137,Departamento de Maldonado,-34.67,-54.92,77.0,57,75,17.22,UY,1609518461
138,Bose,45.46,8.01,36.0,96,100,0.34,IT,1609518462
139,Gijang,35.24,129.21,28.4,68,20,5.82,KR,1609518463
140,Matara,5.95,80.54,76.03,86,98,3.69,LK,1609518464
141,Mwene-Ditu,-7.0,23.45,68.34,97,100,6.42,CD,1609518465
142,Miepherkeim,38.14,41.01,42.8,75,0,1.36,TR,1609518466
143,Narasannapeta,18.42,84.05,67.96,70,7,6.64,IN,1609518467
144,Dawei,14.08,98.2,69.69,54,63,8.95,MM,1609518468
145,Ganzhou,28.82,115.43,35.29,79,0,0.96,CN,1609518469
146,Gladstone,-23.85,151.25,75.2,73,40,8.05,AU,1609518191
147,Chapais,49.78,-74.85,10.4,85,90,10.29,CA,1609518472
148,Cansanção,-10.67,-39.5,95.77,31,30,6.31,BR,1609518235
149,Altay,47.87,88.12,0.95,84,100,1.14,CN,1609518475
150,Port Elizabeth,-33.92,25.57,69.8,52,20,10.29,ZA,1609518476
151,Talaya,61.38,152.75,-32.03,81,100,3.38,RU,1609518477
152,Ürümqi,43.8,87.6,5.0,77,100,2.24,CN,1609518373
153,Nemuro,43.32,145.57,15.35,83,0,18.3,JP,1609518479
154,Kungurtug,50.6,97.52,-18.38,82,65,1.05,RU,1609518480
155,Hagonoy,14.83,120.73,78.8,83,75,3.36,PH,1609518481
156,Kumul,42.8,93.45,14.86,79,100,0.67,CN,1609518483
157,Tiksi,71.69,128.87,-13.61,89,100,6.96,RU,1609518485
158,Yeppoon,-23.13,150.73,75.2,83,90,6.93,AU,1609518486
159,Dunedin,-45.87,170.5,55.0,95,100,10.0,NZ,1609518488
160,Rāiganj,25.62,88.12,62.94,42,3,6.69,IN,1609518400
161,Carballo,43.21,-8.69,48.0,81,40,6.93,ES,1609518490
162,Kununurra,-15.77,128.73,82.4,94,6,4.7,AU,1609518491
163,Takoradze,4.88,-1.76,83.91,72,87,8.66,GH,1609518492
164,Dariba,24.95,74.13,64.02,62,1,1.83,IN,1609518494
165,Grand-Santi,4.25,-54.38,84.15,81,36,3.11,GF,1609518495
166,Turaif,31.67,38.66,55.4,76,0,13.87,SA,1609518496
167,Isangel,-19.55,169.27,79.32,82,100,9.71,VU,1609518497
168,Omboué,-1.57,9.26,81.61,77,100,9.44,GA,1609518498
169,Caconda,-13.73,15.07,68.38,65,87,8.19,AO,1609518499
170,Tukan,53.84,57.46,10.71,95,100,3.49,RU,1609518501
171,Okhotsk,59.38,143.3,-5.53,80,89,14.74,RU,1609518502
172,Bethel,41.37,-73.41,35.01,59,1,4.7,US,1609518251
173,Port-Cartier,50.03,-66.87,14.0,56,19,8.05,CA,1609518415
174,Nikolskoye,59.7,30.79,34.0,98,90,4.47,RU,1609518506
175,Canberra,-35.28,149.13,57.2,76,90,5.82,AU,1609518507
176,Marand,38.43,45.77,12.2,85,75,4.7,IR,1609518307
177,Ribeira Grande,38.52,-28.7,60.8,82,40,23.04,PT,1609518509
178,La Rochelle,46.17,-1.15,37.4,93,90,14.99,FR,1609518510
179,Loa Janan,-0.58,117.09,75.56,94,98,0.54,ID,1609518511
180,Hithadhoo,-0.6,73.08,82.51,77,99,10.16,MV,1609518512
181,Yatou,37.15,122.38,21.78,92,12,8.41,CN,1609518513
182,Stokmarknes,68.56,14.91,32.0,79,0,5.82,NO,1609518515
183,Tuy Hoa,13.08,109.3,68.27,86,100,13.44,VN,1609518516
184,Angoche,-16.23,39.91,82.58,73,1,13.29,MZ,1609518517
185,Shimoda,34.67,138.95,33.01,76,0,1.99,JP,1609518520
186,Karlstad,59.38,13.5,33.8,100,100,4.7,SE,1609518521
187,Ligayan,4.65,119.47,80.38,75,99,4.5,PH,1609518522
188,Yulara,-25.24,130.99,78.8,16,0,4.7,AU,1609518523
189,Buena Vista,43.42,-83.9,28.0,86,1,5.82,US,1609518524
190,Alofi,-19.06,-169.92,71.6,100,94,1.12,NU,1609518525
191,Kichera,55.94,110.1,-15.14,76,16,6.04,RU,1609518526
192,Caravelas,-17.71,-39.25,85.08,56,62,10.56,BR,1609518527
193,Orchard Homes,46.86,-114.05,32.0,100,90,3.65,US,1609518513
194,Būlaevo,54.91,70.44,-26.79,85,17,3.56,KZ,1609518530
195,Seoul,37.57,126.98,26.6,30,1,5.35,KR,1609518531
196,Launceston,-41.45,147.17,53.6,81,90,6.93,AU,1609518532
197,Avera,33.19,-82.53,68.0,85,90,11.41,US,1609518533
198,Qaanaaq,77.48,-69.36,9.52,87,100,4.99,GL,1609518534
199,Mbanza-Ngungu,-5.25,14.87,76.12,89,100,4.81,CD,1609518535
200,Ponta do Sol,32.67,-17.1,62.01,67,40,9.17,PT,1609518536
201,Manitouwadge,49.12,-85.84,32.0,80,75,3.36,CA,1609518537
202,Necochea,-38.55,-58.74,75.99,36,97,9.19,AR,1609518538
203,Shakawe,-18.37,21.85,77.36,74,73,5.19,BW,1609518539
204,Cidreira,-30.18,-50.21,74.21,48,0,8.95,BR,1609518541
205,Coos Bay,43.37,-124.22,51.8,81,90,6.93,US,1609518424
