,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Sungai Penuh,-2.08,101.38,67.8,90,91,3.24,ID,1609773157
1,Rome,43.21,-75.46,33.8,86,90,1.83,US,1609773102
2,Cairns,-16.92,145.77,78.8,94,75,3.36,AU,1609773033
3,Kapaa,22.08,-159.32,73.4,78,75,10.29,US,1609773161
4,Rikitea,-23.12,-134.97,77.14,81,17,15.55,PF,1609773162
5,Chokurdakh,70.63,147.92,-33.21,84,13,9.57,RU,1609773163
6,Ambilobe,-13.2,49.05,78.39,85,80,1.79,MG,1609773164
7,Murray Bridge,-35.12,139.27,57.0,83,66,3.0,AU,1609773165
8,Mataura,-46.19,168.86,54.0,88,100,1.83,NZ,1609773167
9,Pochutla,15.74,-96.47,80.01,73,5,2.04,MX,1609773168
10,Lebu,-37.62,-73.65,59.54,54,0,23.67,CL,1609773169
11,Avarua,-21.21,-159.78,78.8,78,47,14.99,CK,1609773170
12,Palamós,41.85,3.13,48.0,27,21,3.4,ES,1609773171
13,Butaritari,3.07,172.79,81.23,80,95,18.3,KI,1609773172
14,Pevek,69.7,170.31,-17.59,89,100,6.38,RU,1609773173
15,Vaini,-21.2,-175.2,77.0,94,75,5.82,TO,1609773174
16,Deputatsky,69.3,139.9,-28.46,85,7,4.45,RU,1609773175
17,Longyearbyen,78.22,15.64,30.2,74,75,8.05,SJ,1609773177
18,Qaanaaq,77.48,-69.36,-3.35,87,96,2.33,GL,1609773178
19,Port Elizabeth,-33.92,25.57,80.6,69,0,14.99,ZA,1609773144
20,Castro,-24.79,-50.01,73.67,66,3,4.27,BR,1609773180
21,Hilo,19.73,-155.09,69.8,68,90,6.85,US,1609773181
22,Kruisfontein,-34.0,24.73,73.54,74,41,8.3,ZA,1609773182
23,Juneau,58.3,-134.42,34.0,100,75,4.7,US,1609773183
24,New Norfolk,-42.78,147.06,57.0,74,52,0.63,AU,1609773184
25,Barranco,9.52,-82.7,77.0,88,75,4.7,PA,1609773185
26,Cape Town,-33.93,18.42,81.0,57,20,14.99,ZA,1609773071
27,Atuona,-9.8,-139.03,77.49,78,100,18.61,PF,1609773188
28,Raja,8.46,25.68,95.32,14,0,7.43,SS,1609773189
29,Meulaboh,4.14,96.13,79.79,80,100,3.78,ID,1609773190
30,Cherskiy,68.75,161.3,-30.35,84,96,5.84,RU,1609773191
31,Sørland,67.67,12.69,42.8,81,75,17.22,NO,1609773192
32,Thompson,55.74,-97.86,5.0,84,90,4.7,CA,1609773193
33,Codajás,-3.84,-62.06,87.04,60,24,4.25,BR,1609773195
34,Bluff,-46.6,168.33,54.0,88,100,7.72,NZ,1609773196
35,Lavrentiya,65.58,-171.0,-8.61,89,32,10.89,RU,1609773197
36,Constitución,-35.33,-72.42,69.03,42,0,16.02,CL,1609772947
37,Konakovo,56.7,36.77,30.29,99,100,5.73,RU,1609773201
38,Punta Arenas,-53.15,-70.92,53.6,46,75,25.28,CL,1609773202
39,Ushuaia,-54.8,-68.3,48.2,61,75,9.17,AR,1609773087
40,Ostrovnoy,68.05,39.51,8.38,93,13,7.14,RU,1609773204
41,Busselton,-33.65,115.33,64.0,67,0,3.0,AU,1609773205
42,Quelimane,-17.88,36.89,89.6,59,40,11.41,MZ,1609773206
43,Ilulissat,69.22,-51.1,19.4,57,75,29.97,GL,1609773208
44,Mariehamn,60.1,19.93,32.0,95,75,5.82,AX,1609773209
